Time (seconds),X-Force,Y-Force,Z-Force,AbsoluteForce
18.34,128,32,-976,984
18.37,112,48,-976,983
18.39,112,32,-992,998
18.41,160,48,-992,1005
18.44,112,48,-976,983
18.46,96,48,-992,997
18.49,112,48,-1008,1015
18.51,128,32,-992,1000
18.53,128,64,-976,986
18.56,144,80,-992,1005
18.60,128,64,-976,986
18.63,128,64,-992,1002
18.65,112,48,-992,999
18.67,112,48,-976,983
18.70,96,64,-976,982
18.72,96,64,-976,982
18.75,112,48,-976,983
18.77,112,64,-992,1000
18.79,96,48,-976,981
18.82,112,48,-976,983
18.84,96,48,-960,965
18.89,96,32,-976,981
18.91,112,80,-960,969
18.93,128,64,-976,986
18.96,96,64,-976,982
18.98,112,48,-976,983
19.01,128,64,-992,1002
19.03,112,48,-960,967
19.06,96,32,-976,981
19.08,112,48,-976,983
19.11,128,64,-976,986
19.13,128,64,-976,986
19.15,96,48,-976,981
19.20,144,64,-1008,1020
19.22,128,48,-992,1001
19.25,128,32,-976,984
19.27,96,48,-992,997
19.29,112,48,-960,967
19.32,112,48,-976,983
19.34,112,48,-960,967
19.37,128,48,-960,969
19.39,144,64,-992,1004
19.41,128,64,-976,986
19.44,128,48,-976,985
19.46,112,64,-976,984
19.51,112,32,-960,967
19.53,112,32,-960,967
19.55,112,48,-976,983
19.58,112,64,-976,984
19.60,128,64,-992,1002
19.63,128,48,-992,1001
19.65,96,64,-976,982
19.68,96,48,-960,965
19.70,112,48,-976,983
19.73,112,48,-960,967
19.75,112,48,-976,983
19.79,112,32,-976,982
19.82,112,48,-992,999
19.84,96,48,-960,965
19.87,112,48,-976,983
19.89,128,48,-960,969
19.91,112,64,-992,1000
19.94,112,80,-976,985
19.96,128,64,-992,1002
19.99,112,32,-992,998
20.01,128,48,-992,1001
20.03,112,32,-960,967
20.06,112,64,-976,984
20.10,112,48,-992,999
20.13,128,64,-1008,1018
20.15,112,96,-944,955
20.17,112,64,-992,1000
20.20,128,64,-1008,1018
20.22,112,48,-976,983
20.25,96,48,-992,997
20.27,128,48,-976,985
20.30,80,64,-992,997
20.32,112,64,-976,984
20.35,112,48,-992,999
20.39,96,48,-960,965
20.41,112,48,-976,983
20.44,96,48,-976,981
20.46,128,48,-976,985
20.49,96,48,-976,981
20.51,144,48,-976,987
20.53,128,48,-976,985
20.56,112,48,-992,999
20.58,112,64,-960,968
20.61,144,48,-960,971
20.63,112,48,-976,983
20.65,112,32,-960,967
20.81,96,48,-992,997
20.83,112,48,-976,983
20.86,96,64,-976,982
20.88,144,48,-976,987
20.91,96,48,-976,981
20.93,112,48,-976,983
20.95,112,48,-960,967
20.98,128,48,-976,985
21.00,96,64,-960,966
21.03,112,80,-976,985
21.05,112,80,-960,969
21.08,128,48,-976,985
21.12,96,64,-976,982
